caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
01/31/2001,-0.001917,0.002511,0.004164,0.011923,0.013510,0.013519,0.012048,0.006900,0.005243,0.006322
02/28/2001,0.014203,0.018639,0.011636,0.012849,0.011310,0.006873,0.004732,0.003967,0.003653,0.003998
03/30/2001,-0.014758,-0.007316,0.002750,0.006763,0.008259,0.007193,0.007367,0.004678,0.004320,0.002275
04/30/2001,-0.043105,-0.031123,-0.027449,-0.015447,-0.008237,0.002154,0.004721,0.004470,0.003864,0.003973
05/31/2001,0.008805,0.003703,0.001373,0.003136,0.002011,0.005381,0.006094,0.003853,0.003183,0.004522
06/29/2001,0.004153,0.005339,0.002161,0.001581,0.002230,0.003227,0.002773,0.003001,0.002778,0.001688
07/31/2001,0.038582,0.038935,0.030526,0.028164,0.022406,0.013110,0.007754,0.003305,0.002999,-0.002809
08/31/2001,0.026989,0.023600,0.015065,0.014634,0.011976,0.007129,0.004845,0.003284,0.002996,0.000000
09/28/2001,-0.002660,0.004898,0.022599,0.025211,0.023823,0.017807,0.010444,0.004224,0.002730,0.004507
10/31/2001,0.088895,0.051980,0.031821,0.028631,0.020708,0.012043,0.007903,0.002545,0.002154,-0.003365
11/30/2001,-0.055366,-0.051658,-0.035211,-0.029733,-0.018299,-0.005276,0.001236,0.002106,0.001749,-0.001688
12/31/2001,-0.022782,-0.014911,-0.017354,-0.012400,-0.009027,0.000250,0.002073,0.001592,0.001484,-0.003946
01/31/2002,0.010098,0.011488,0.004609,0.005779,0.003923,0.002636,0.000687,0.001488,0.001390,0.002264
02/28/2002,0.006827,0.012538,0.012027,0.012980,0.011665,0.005400,0.003139,0.001373,0.001285,0.003953
03/28/2002,-0.050435,-0.040447,-0.036790,-0.029495,-0.023253,-0.008508,-0.002648,0.001376,0.001341,0.005624
04/30/2002,0.036252,0.040135,0.029382,0.028622,0.023723,0.013578,0.007708,0.001669,0.001546,0.005593
05/31/2002,0.002146,0.001533,0.008136,0.011315,0.010847,0.004414,0.002214,0.001607,0.001442,0.000000
06/28/2002,0.018716,0.018251,0.021555,0.018485,0.016332,0.009430,0.005796,0.001432,0.001312,0.000556
07/31/2002,0.035049,0.030021,0.030770,0.030141,0.028037,0.015878,0.005072,0.001556,0.001507,0.001112
08/30/2002,0.060110,0.045547,0.030178,0.022089,0.016825,0.004572,0.000968,0.001467,0.001402,0.003331
09/30/2002,0.042904,0.041489,0.046890,0.036019,0.030206,0.010101,0.004035,0.001606,0.001414,0.001660
10/31/2002,-0.041985,-0.028103,-0.020221,-0.008435,-0.003478,0.002358,0.002565,0.001475,0.001334,0.001657
11/29/2002,-0.003344,-0.011966,-0.021163,-0.019251,-0.017077,-0.005049,-0.000347,0.001557,0.001166,0.000000
12/31/2002,0.042637,0.044021,0.035968,0.034456,0.028048,0.010979,0.004480,0.001199,0.001079,-0.002206
01/31/2003,-0.004782,-0.004343,-0.008285,-0.007164,-0.006167,0.000875,0.000443,0.001084,0.000934,0.004422
02/28/2003,0.029008,0.030871,0.026230,0.021521,0.016693,0.005203,0.001683,0.000850,0.000871,0.007705
03/31/2003,-0.017930,-0.011278,-0.005652,-0.002253,0.000020,0.001900,0.002141,0.001198,0.001020,0.006008
04/30/2003,0.011381,0.009585,-0.000069,0.002400,0.001737,0.001626,0.001039,0.000930,0.000939,-0.002172
05/30/2003,0.064188,0.057641,0.042457,0.033750,0.025215,0.004609,0.001078,0.000958,0.000903,-0.001632
06/30/2003,-0.023214,-0.014020,-0.009082,-0.004886,-0.002791,0.002131,0.002162,0.001439,0.000984,0.001090
07/31/2003,-0.104917,-0.093603,-0.066819,-0.046952,-0.030690,-0.006811,-0.000905,0.000746,0.000674,0.001089
08/29/2003,0.023022,0.009902,0.004672,-0.000653,-0.002624,-0.002283,0.000532,0.000717,0.000689,0.003806
09/30/2003,0.055228,0.058097,0.046768,0.040350,0.033421,0.012040,0.003814,0.001072,0.000865,0.003250
10/31/2003,-0.031384,-0.029366,-0.024426,-0.018579,-0.014593,-0.005100,-0.000772,0.000774,0.000700,-0.001080
11/28/2003,0.004057,0.003887,0.001662,-0.000094,-0.000681,-0.001446,-0.000455,0.000804,0.000725,-0.002703
12/31/2003,0.013211,0.016052,0.010314,0.011373,0.010046,0.006834,0.003836,0.000971,0.000831,-0.001084
01/30/2004,0.019525,0.015763,0.012969,0.009444,0.005584,0.002965,0.001233,0.000868,0.000696,0.004883
02/27/2004,0.021635,0.023563,0.017485,0.015920,0.012425,0.005320,0.001592,0.000663,0.000623,0.005400
03/31/2004,0.014178,0.013929,0.014356,0.012258,0.011274,0.003396,0.001410,0.000918,0.000844,0.006445
04/30/2004,-0.067295,-0.059584,-0.049100,-0.040496,-0.033809,-0.012968,-0.003310,0.000816,0.000795,0.003202
05/28/2004,-0.003441,-0.004100,-0.006668,-0.004916,-0.004927,-0.001439,-0.000371,0.000749,0.000603,0.005851
06/30/2004,0.011977,0.013616,0.010110,0.008733,0.005570,0.000646,0.000200,0.000819,0.000817,0.003173
07/30/2004,0.016703,0.014664,0.012083,0.009590,0.007603,0.003181,0.001789,0.000896,0.000919,-0.001581
08/31/2004,0.043186,0.039549,0.032191,0.026443,0.020377,0.008366,0.003512,0.001258,0.001116,0.000528
09/30/2004,0.009077,0.008695,0.002804,0.002040,0.000598,-0.001396,-0.000269,0.001327,0.001185,0.002111
10/29/2004,0.018720,0.015813,0.011145,0.008994,0.006911,0.003467,0.001553,0.001111,0.001129,0.005266
11/30/2004,-0.025773,-0.022469,-0.017663,-0.018028,-0.014843,-0.005720,-0.002025,0.001474,0.001541,0.000524
12/31/2004,0.029946,0.024136,0.013398,0.011803,0.007490,0.001828,0.001464,0.002104,0.001672,-0.003665
01/31/2005,0.038437,0.028471,0.009351,0.004691,0.000411,-0.000905,0.000604,0.001690,0.001661,0.002102
02/28/2005,-0.015657,-0.014668,-0.013112,-0.012305,-0.010545,-0.002707,-0.000387,0.001613,0.001641,0.005768
03/31/2005,-0.000930,-0.004377,-0.004518,-0.003489,-0.002861,0.000109,0.001544,0.002385,0.002123,0.007821
04/29/2005,0.039067,0.035333,0.026104,0.020601,0.015349,0.006062,0.003691,0.002189,0.002072,0.006725
05/31/2005,0.032511,0.032170,0.018363,0.020712,0.010154,0.004763,0.003251,0.002672,0.002395,-0.001028
06/30/2005,0.022747,0.017606,0.009046,0.002256,0.004573,0.001778,0.001802,0.002256,0.002263,0.000514
07/29/2005,-0.036368,-0.031633,-0.021346,-0.020219,-0.015060,-0.004307,-0.000608,0.002114,0.002383,0.004627
08/31/2005,0.035543,0.032788,0.020806,0.018484,0.015683,0.007228,0.004896,0.003081,0.002920,0.005118
09/30/2005,-0.041069,-0.033298,-0.018281,-0.017388,-0.012072,-0.003314,-0.000060,0.003136,0.002848,0.012220
10/31/2005,-0.022459,-0.019975,-0.011898,-0.011174,-0.008743,-0.000763,0.001098,0.002667,0.002728,0.002012
11/30/2005,0.012485,0.007972,0.006295,0.006018,0.004314,0.003289,0.002993,0.003393,0.003045,-0.008032
12/30/2005,0.026477,0.027379,0.011198,0.010786,0.005806,0.003983,0.003666,0.003170,0.003160,-0.004049
01/31/2006,-0.015976,-0.011112,-0.004563,-0.004991,-0.002261,0.001664,0.001937,0.003212,0.003488,0.007622
02/28/2006,0.012809,0.008721,0.000153,-0.002072,-0.001712,0.000597,0.002138,0.003270,0.003322,0.002017
03/31/2006,-0.055518,-0.040187,-0.019782,-0.010402,-0.006159,0.001006,0.002633,0.003923,0.003642,0.005536
04/28/2006,-0.038002,-0.024514,-0.008795,-0.004494,-0.001292,0.002915,0.003109,0.003340,0.003559,0.008509
05/31/2006,-0.005631,-0.001525,-0.001047,-0.001838,-0.001810,0.001361,0.002628,0.004294,0.004195,0.004963
06/30/2006,0.010872,0.010620,0.003077,0.003175,0.000956,0.001500,0.002458,0.003842,0.003970,0.001975
07/31/2006,0.023037,0.021198,0.016418,0.015436,0.013136,0.008253,0.005809,0.004207,0.003976,0.002957
08/31/2006,0.033521,0.028996,0.021575,0.016606,0.013386,0.007300,0.005217,0.004477,0.004283,0.001966
09/29/2006,0.022313,0.017554,0.011343,0.010171,0.007946,0.004989,0.004391,0.004418,0.004047,-0.004904
10/31/2006,0.011512,0.008110,0.007074,0.005760,0.003990,0.003894,0.003965,0.003932,0.004076,-0.005421
11/30/2006,0.028752,0.020207,0.013674,0.011619,0.008574,0.005344,0.004218,0.004312,0.004243,-0.001487
12/29/2006,-0.035085,-0.024170,-0.015746,-0.011550,-0.007490,-0.000605,0.002285,0.004088,0.004036,0.001489
01/31/2007,-0.010679,-0.007534,-0.003600,-0.001775,-0.000763,0.001951,0.003995,0.004410,0.004328,0.003053
02/28/2007,0.035901,0.028796,0.019999,0.018779,0.015508,0.008344,0.005063,0.003807,0.003837,0.005350
03/30/2007,-0.021418,-0.012110,-0.002247,0.001164,0.003053,0.004382,0.003904,0.004365,0.004257,0.009106
04/30/2007,0.008677,0.008095,0.006799,0.005634,0.004387,0.003723,0.003403,0.004529,0.004348,0.006496
05/31/2007,-0.025944,-0.020529,-0.014483,-0.013946,-0.011059,-0.001889,0.002538,0.004487,0.004046,0.006111
06/29/2007,-0.013263,-0.008926,-0.006804,-0.001106,0.000799,0.004189,0.004246,0.003801,0.003918,0.001938
07/31/2007,0.039013,0.030381,0.023884,0.021695,0.018827,0.010287,0.006321,0.004037,0.003962,-0.000254
08/31/2007,0.014998,0.017484,0.017130,0.022029,0.017403,0.010008,0.007002,0.005694,0.004205,-0.001834
09/28/2007,0.002330,0.001447,-0.000440,0.002781,0.004294,0.006878,0.005447,0.003905,0.003347,0.002756
10/31/2007,0.018432,0.015780,0.013082,0.009846,0.007296,0.004278,0.003567,0.003145,0.003212,0.002139
11/30/2007,0.062646,0.048778,0.044192,0.039726,0.037483,0.020658,0.011388,0.004658,0.003395,0.005940
12/31/2007,-0.008740,-0.006067,-0.003627,0.001302,0.000672,0.001824,0.001147,0.002879,0.002921,-0.000671
01/31/2008,0.025452,0.025689,0.038355,0.036982,0.033951,0.020304,0.013061,0.005008,0.002430,0.004971
02/29/2008,-0.007590,0.000404,0.009265,0.014976,0.014841,0.009926,0.005399,0.001676,0.001325,0.002904
03/31/2008,0.022067,0.012042,0.011256,0.017594,0.004523,0.003037,0.002887,0.002430,0.001869,0.008668
04/30/2008,-0.025128,-0.018873,-0.016442,-0.029068,-0.023902,-0.012268,-0.002938,0.001126,0.001025,0.006065
05/30/2008,-0.036625,-0.029605,-0.018756,-0.018669,-0.015239,-0.005992,-0.001104,0.000221,0.000946,0.008421
06/30/2008,0.036209,0.023758,0.010754,0.014134,0.007028,0.003551,0.001278,0.001831,0.001750,0.010077
07/31/2008,-0.004120,-0.000827,0.005155,0.009349,0.007249,0.005230,0.003177,0.001720,0.001440,0.005251
08/29/2008,0.028500,0.023764,0.015313,0.012839,0.008864,0.004534,0.002366,0.001413,0.001282,-0.003992
09/30/2008,0.022345,0.007784,0.000875,0.003465,0.009199,0.010026,0.005113,0.002546,0.001530,-0.001383
10/31/2008,-0.007043,-0.036296,-0.028592,-0.007144,0.010844,0.012592,0.005218,0.001208,0.000792,-0.010101
11/28/2008,0.174083,0.144461,0.085378,0.081895,0.045233,0.012121,0.007170,0.001024,0.000228,-0.019153
12/31/2008,0.146556,0.091421,0.056872,0.036706,0.023039,0.006517,0.003890,0.000063,0.000029,-0.010342
01/30/2009,-0.147382,-0.105931,-0.044454,-0.029484,-0.016891,-0.004086,-0.001545,-0.000038,0.000023,0.004352
02/27/2009,-0.016446,-0.004178,-0.001920,-0.011374,-0.005036,-0.000711,-0.001389,0.000280,0.000147,0.004973
03/31/2009,0.035148,0.057347,0.032915,0.032182,0.018724,0.005159,0.001434,0.000351,0.000159,0.002432
04/30/2009,-0.084485,-0.061338,-0.035787,-0.024371,-0.016750,-0.001117,0.001908,0.000359,0.000125,0.002496
05/29/2009,-0.045685,-0.025809,-0.016442,-0.019651,-0.013248,0.000831,0.000361,0.000118,0.000017,0.002889
06/30/2009,0.004932,0.006795,0.002851,-0.005562,-0.007311,-0.002294,0.000567,0.000108,0.000075,0.008590
07/31/2009,0.008809,0.007232,0.008263,0.008512,0.006035,0.001920,0.001105,0.000196,0.000119,-0.001586
08/31/2009,0.024428,0.020938,0.010147,0.010546,0.009517,0.004433,0.001488,0.000241,0.000116,0.002243
09/30/2009,0.024703,0.016535,0.010324,0.010792,0.006463,0.002416,0.000799,0.000250,0.000079,0.000625
10/30/2009,-0.024908,-0.014160,-0.003575,0.002101,0.003621,0.002946,-0.000021,0.000195,0.000040,0.000963
11/30/2009,0.007072,0.018410,0.018977,0.022120,0.018421,0.006743,0.001892,0.000104,0.000004,0.000708
12/31/2009,-0.065864,-0.054419,-0.037937,-0.038514,-0.027479,-0.006970,-0.001166,0.000066,0.000062,-0.001761
01/29/2010,0.027461,0.029431,0.020794,0.023747,0.018564,0.008927,0.003246,0.000062,0.000028,0.003417
02/26/2010,-0.007626,-0.002964,0.002013,0.003708,0.004494,0.001837,-0.000473,0.000015,0.000010,0.000249
03/31/2010,-0.020687,-0.013103,-0.014016,-0.010011,-0.007727,-0.001592,-0.000869,0.000042,0.000068,0.004106
04/30/2010,0.035549,0.029069,0.016503,0.013512,0.009075,0.002381,0.000162,0.000129,0.000111,0.001737
05/28/2010,0.053640,0.040848,0.025297,0.025802,0.015079,0.005645,0.000695,0.000129,0.000112,0.000775
06/30/2010,0.059837,0.044813,0.033857,0.024763,0.018377,0.004265,0.001116,0.000118,0.000127,-0.000976
07/30/2010,-0.013921,-0.000159,0.007935,0.009597,0.011016,0.001881,0.000856,0.000176,0.000142,0.000211
08/31/2010,0.087291,0.073081,0.035527,0.022601,0.013728,0.001747,0.001025,0.000145,0.000126,0.001381
09/30/2010,-0.027620,-0.017073,-0.001972,0.003909,0.005236,0.001503,0.000346,0.000044,0.000125,0.000582
10/29/2010,-0.047614,-0.029154,-0.005209,0.001257,0.006257,0.002339,0.000304,0.000159,0.000112,0.001245
11/30/2010,-0.018947,-0.016369,-0.007214,-0.010132,-0.012155,-0.002914,-0.000524,0.000046,0.000114,0.000421
12/31/2010,-0.033938,-0.038450,-0.038909,-0.031250,-0.022323,-0.001872,-0.000083,0.000220,0.000140,0.001718
